City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Kailua,US,83.14,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
10,Atuona,PF,80.29,few clouds,-9.8,-139.0333,Villa Enata
12,Calabozo,VE,85.57,overcast clouds,8.9242,-67.4293,Hotel Giardini
14,Dingle,PH,77.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
16,Omboue,GA,77.45,overcast clouds,-1.5746,9.2618,Hotel Olako
19,Rikitea,PF,77.05,light rain,-23.1203,-134.9692,Pension Maro'i
20,Hithadhoo,MV,83.89,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Sitio Novo Do Tocantins,BR,78.94,broken clouds,-5.5183,-47.4611,Imperial Hotel
26,Aransas Pass,US,83.01,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
27,Mattru,SL,77.81,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
28,Georgetown,MY,81.9,overcast clouds,5.4112,100.3354,Cititel Penang
31,Mormugao,IN,82.85,overcast clouds,15.4,73.8,Coconut Creek Resort
33,Hirara,JP,79.07,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
45,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
46,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
47,Hilo,US,82.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
51,Matara,LK,79.83,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
57,Jamestown,US,77.29,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Srandakan,ID,77.09,overcast clouds,-7.9386,110.2506,Puri Brata
66,San Policarpo,PH,80.46,broken clouds,12.1791,125.5072,JM Lodge
75,Nishihara,JP,76.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
76,Puerto Colombia,CO,82.62,broken clouds,10.9878,-74.9547,Hotel El Emigrante
78,Sinnamary,GF,77.09,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
79,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Lae,PG,76.15,light rain,-6.7221,146.9847,Phils Hotel
85,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
87,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Ewa Beach,US,83.08,clear sky,21.3156,-158.0072,Uncle Junior Robert
94,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
98,Victoria,HK,84.33,broken clouds,22.2855,114.1577,Mini Hotel Central
101,Quang Ngai,VN,76.98,overcast clouds,15.1167,108.8,Central Hotel
103,Makakilo City,US,81.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
107,Corinth,GR,77.85,clear sky,37.9407,22.9573,Ephira Hotel
112,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
116,Soyo,AO,79.45,scattered clouds,-6.1349,12.3689,Hotel Mpampa
117,Goderich,CA,75.2,overcast clouds,43.7501,-81.7165,Harmony Inn
120,Sur,OM,89.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
121,East London,ZA,76.01,overcast clouds,-33.0153,27.9116,Tu Casa
124,Malakal,SS,80.73,overcast clouds,9.5334,31.6605,Nile Palace Hotel
132,Ambulu,ID,75.04,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
134,Imuris,MX,88.29,clear sky,30.7833,-110.8667,Hotel toro Hereford
139,Hannibal,US,84.92,overcast clouds,39.7084,-91.3585,Country Hearth Inn Hannibal
141,Lamu,KE,78.62,few clouds,-2.2717,40.902,Lamu House
145,Buraydah,SA,84.99,clear sky,26.326,43.975,فندق راحة السلام
150,Vila Velha,BR,80.96,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
157,Vaitape,PF,81.52,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
160,Paoua,CF,76.51,scattered clouds,7.2427,16.4406,Quartier Paoua Elien
166,Fort Frances,CA,83.16,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
177,Bandarbeyla,SO,82.58,clear sky,9.4942,50.8122,JABIR HOTEL
179,Canon City,US,80.29,clear sky,38.441,-105.2424,Travel Inn Motel
180,Bengkulu,ID,76.05,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Saint George,US,84.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
184,Guerrero Negro,MX,75.81,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
188,Ipixuna,BR,84.15,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
189,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
190,Wichian Buri,TH,78.51,light rain,15.6578,101.106,Mit Sali Hotel
195,Robertson,US,89.58,clear sky,36.5167,-86.8667,Hampton Inn Springfield
198,Padang,ID,77.36,overcast clouds,-0.9492,100.3543,Mercure Padang
203,Dabwali,IN,87.46,clear sky,29.95,74.7333,Hotel Siddarth
204,Tabuk,PH,75.72,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
208,Tutoia,BR,80.35,overcast clouds,-2.7619,-42.2744,Pousada Guará's
213,Ocampo,MX,85.28,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
214,Grand Forks,US,82.33,clear sky,47.9417,-97.4337,Warrior Inn
216,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
224,Iracoubo,GF,76.15,heavy intensity rain,5.4802,-53.2011,Le Gite D Iracoubo
227,Berea,US,83.28,scattered clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
231,Pasighat,IN,75.47,broken clouds,28.0667,95.3333,Siang Guest House
233,Manacapuru,BR,86.58,broken clouds,-3.2997,-60.6206,Novo Hotel
236,Acajutla,SV,88.81,broken clouds,13.5928,-89.8275,asi es
238,Labuhan,ID,76.89,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
242,Cockburn Town,TC,79.32,few clouds,21.4612,-71.1419,Osprey Beach Hotel
247,Belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
248,Aswan,EG,83.61,clear sky,24.0934,32.907,Nuba Nile
250,Champerico,GT,86.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
251,Palauig,PH,80.92,scattered clouds,15.435,119.9045,Myhousebythesea
255,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
260,Callaway,US,84.97,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
268,Caravelas,BR,77,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
270,Pangai,TO,76.08,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
275,Mogadishu,SO,78.89,scattered clouds,2.0371,45.3438,Hotel Juba
277,Lac Du Bonnet,CA,80.58,clear sky,50.2536,-96.0612,Casey's Inn Motor Hotel
280,Keti Bandar,PK,83.23,clear sky,24.1447,67.4497,Haji laloo memon house
283,Sakakah,SA,75.87,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
285,Tual,ID,82.4,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
288,La Asuncion,VE,79.68,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
291,Dawlatabad,AF,76.23,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
294,Lafiagi,NG,84,few clouds,8.8667,5.4167,Bus group international
295,Tecoanapa,MX,88.72,clear sky,16.5167,-98.75,Hotel Manglares
298,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
300,Lodwar,KE,85.51,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
301,Savannah Bight,HN,81.75,few clouds,16.45,-85.85,Villa on Dunbar Rock
302,Gizo,SB,82.17,light rain,-8.103,156.8419,Imagination Island
304,Parintins,BR,80.49,overcast clouds,-2.6283,-56.7358,Cama e Cafe
310,Razole,IN,85.01,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
312,Santa Rosa,PH,82.9,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
314,Kavaratti,IN,83.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Harper,LR,80.51,broken clouds,4.375,-7.7169,Screensaver
322,Ahuimanu,US,84.78,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
326,Acapulco,MX,89.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
327,Faanui,PF,81.48,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
329,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
330,Havelock,US,79.02,overcast clouds,34.8791,-76.9013,Sherwood Motel
331,Biltine,TD,82.8,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
332,Papetoai,PF,83.79,overcast clouds,-17.4961,-149.8729,Fare Vaihere
333,Mizdah,LY,81.77,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
334,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
335,Kutum,SD,78.35,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
336,Pacific Grove,US,87.15,clear sky,36.6177,-121.9166,Lovers Point Inn
339,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
343,Nabire,ID,77.14,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
346,Vanimo,PG,79.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
347,Hambantota,LK,80.8,overcast clouds,6.1241,81.1185,Bungalow 63
356,Brookhaven,US,86.95,overcast clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
361,Big Rapids,US,82.9,broken clouds,43.6981,-85.4837,Holiday Inn Big Rapids
363,Ranong,TH,79.74,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
364,Saint Anthony,US,87.82,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
366,Ukiah,US,88.03,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
367,Ishigaki,JP,80.85,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
370,Hoi An,VN,80.56,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
374,Ingham,US,83.55,clear sky,42.6,-84.3833,Sunset Place
380,Santa Marta,CO,83.98,scattered clouds,11.2408,-74.199,Casa de Isabella
381,Wukari,NG,82.58,overcast clouds,7.85,9.7833,Elimtop
382,Huicungo,PE,76.28,broken clouds,-7.2833,-76.8,Gran Pajaten Trek
387,Saint-Georges,GD,79.54,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
390,Kourou,GF,77.05,heavy intensity rain,5.1552,-52.6478,Lodge Takini 4
391,Raymondville,US,89.6,broken clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
393,Gibara,CU,85.32,scattered clouds,21.1097,-76.1317,Sol y Mar
395,Lorengau,PG,82.63,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
396,Eyl,SO,81.84,broken clouds,7.9803,49.8164,Amiin Hotel
398,San Patricio,US,84.61,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Santa Isabel Do Rio Negro,BR,81.36,overcast clouds,-0.4139,-65.0192,Hotel GSA
400,Sabang,ID,83.79,overcast clouds,5.8933,95.3214,Hotel Citra
