City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,31.66,93,75,20.71,light snow
1,Vaini,TO,-21.2,-175.2,77.16,73,75,6.91,broken clouds
2,Katsuura,JP,35.1333,140.3,70.11,80,92,6.42,overcast clouds
3,Palmer,US,42.1584,-72.3287,71.42,44,40,1.99,scattered clouds
4,Hermanus,ZA,-34.4187,19.2345,60.91,79,42,4.81,scattered clouds
5,Isangel,VU,-19.55,169.2667,73.98,58,80,12.64,broken clouds
6,Barrow,US,71.2906,-156.7887,28.42,86,90,13.8,overcast clouds
7,Broome,US,42.2506,-75.833,72.81,63,68,4,broken clouds
8,Nikolskoye,RU,59.7035,30.7861,50.4,86,19,4.9,few clouds
9,Kailua,US,21.4022,-157.7394,83.14,74,40,8.05,scattered clouds
10,Atuona,PF,-9.8,-139.0333,80.29,75,14,17.6,few clouds
11,Conde,BR,-7.2597,-34.9075,74.66,83,20,7.9,few clouds
12,Calabozo,VE,8.9242,-67.4293,85.57,59,89,4.5,overcast clouds
13,Molina,CL,-35.1167,-71.2833,58.73,78,0,5.93,clear sky
14,Dingle,PH,10.9995,122.6711,77.72,85,66,4.14,broken clouds
15,New Norfolk,AU,-42.7826,147.0587,54.9,64,100,3.09,overcast clouds
16,Omboue,GA,-1.5746,9.2618,77.45,93,94,6.06,overcast clouds
17,Kodiak,US,57.79,-152.4072,52.63,57,0,5.88,clear sky
18,Faya,SA,18.3851,42.4509,64.92,35,34,3.02,scattered clouds
19,Rikitea,PF,-23.1203,-134.9692,77.05,79,96,18.97,light rain
20,Hithadhoo,MV,-0.6,73.0833,83.89,72,100,16.06,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,34.05,75,8,6.78,clear sky
22,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.94,75,66,2.64,broken clouds
23,Pevek,RU,69.7008,170.3133,32.76,85,100,3.74,overcast clouds
24,Tiksi,RU,71.6872,128.8694,36.12,74,90,6.85,overcast clouds
25,Cidreira,BR,-30.1811,-50.2056,57.63,67,0,12.55,clear sky
26,Aransas Pass,US,27.9095,-97.15,83.01,85,40,13,scattered clouds
27,Mattru,SL,7.6244,-11.8332,77.81,93,75,3.56,light rain
28,Georgetown,MY,5.4112,100.3354,81.9,86,99,4.72,overcast clouds
29,Hobart,AU,-42.8794,147.3294,55.26,85,75,1.99,light rain
30,Khatanga,RU,71.9667,102.5,31.57,99,100,3.56,light snow
31,Mormugao,IN,15.4,73.8,82.85,82,100,12.84,overcast clouds
32,Chokurdakh,RU,70.6333,147.9167,32.47,98,77,4.88,broken clouds
33,Hirara,JP,24.8,125.2833,79.07,94,40,5.75,scattered clouds
34,Mataura,NZ,-46.1927,168.8643,36.66,82,5,2.77,clear sky
35,Yellowknife,CA,62.456,-114.3525,42.33,35,0,4,clear sky
36,Saint-Philippe,RE,-21.3585,55.7679,72.99,77,78,11.56,broken clouds
37,Naze,JP,28.3667,129.4833,70.72,74,88,4.59,overcast clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,60,75,5.75,light rain
39,Cape Town,ZA,-33.9258,18.4232,61.12,85,80,7.11,light rain
40,Cherskiy,RU,68.75,161.3,49.03,41,6,5.59,clear sky
41,Bluff,NZ,-46.6,168.3333,39.29,79,6,7.09,clear sky
42,Kendari,ID,-3.945,122.4989,73.96,95,99,2.64,overcast clouds
