City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,5/22/2021 22:58,71.6872,128.8694,26.46,82,92,3.96
1,Atuona,PF,5/22/2021 22:57,-9.8,-139.0333,80.22,68,35,15.12
2,La Argentina,CO,5/22/2021 23:01,2.1961,-75.98,64.72,94,87,2.42
3,Ribeira Grande,PT,5/22/2021 22:57,38.5167,-28.7,59.61,63,8,9.35
4,Kavieng,PG,5/22/2021 22:57,-2.5744,150.7967,83.21,76,100,0.38
5,Roald,NO,5/22/2021 23:01,62.5833,6.1333,52.9,93,90,8.05
6,Nerchinskiy Zavod,RU,5/22/2021 23:01,51.3088,119.61,35.46,97,100,6.4
7,Bluff,NZ,5/22/2021 23:01,-46.6,168.3333,49.8,80,16,12.3
8,Jalu,LY,5/22/2021 22:58,29.0331,21.5482,74.79,20,0,5.84
9,Luderitz,NA,5/22/2021 23:01,-26.6481,15.1594,67.08,43,19,4.03
10,Los Llanos De Aridane,ES,5/22/2021 23:01,28.6585,-17.9182,66.13,69,40,24.67
11,Hermanus,ZA,5/22/2021 23:01,-34.4187,19.2345,53.91,62,8,7.34
12,Yenagoa,NG,5/22/2021 23:01,4.9247,6.2642,74.32,93,100,3.04
13,Mahebourg,MU,5/22/2021 23:01,-20.4081,57.7,69.26,70,87,17.9
14,Albany,US,5/22/2021 23:00,42.6001,-73.9662,79.81,68,100,11.01
15,Rikitea,PF,5/22/2021 23:01,-23.1203,-134.9692,76.5,67,3,12.77
16,Laguna,US,5/22/2021 22:58,38.421,-121.4238,80.69,27,40,4
17,Ouadda,CF,5/22/2021 22:57,8.0777,22.4007,68.92,94,17,3.8
18,Idrinskoye,RU,5/22/2021 23:01,54.3708,92.1358,44.87,89,100,2.66
19,San Patricio,US,5/22/2021 23:01,28.017,-97.5169,83.05,73,100,13.62
20,Misratah,LY,5/22/2021 23:01,32.3754,15.0925,68.41,77,0,15.86
21,Dawei,MM,5/22/2021 23:01,14.0833,98.2,76.03,97,100,8.48
22,Tessalit,ML,5/22/2021 23:01,20.1986,1.0114,93.87,22,17,7.81
23,Aksarka,RU,5/22/2021 22:59,66.5606,67.7975,57.99,69,94,11.86
24,Barrow,US,5/22/2021 22:57,71.2906,-156.7887,34.07,100,100,4.94
25,Dukat,RU,5/22/2021 23:01,62.55,155.55,33.94,83,26,4.03
26,Erenhot,CN,5/22/2021 23:01,43.6475,111.9767,42.67,38,0,22.01
27,Sulangan,PH,5/22/2021 23:01,11.1373,123.7228,83.89,69,11,4.9
28,East London,ZA,5/22/2021 23:01,-33.0153,27.9116,57.09,68,15,9.84
29,Meulaboh,ID,5/22/2021 23:01,4.1363,96.1285,76.5,87,100,4.14
30,Yerbogachen,RU,5/22/2021 23:01,61.2767,108.0108,44.83,55,84,3.13
31,Nuevo Progreso,MX,5/22/2021 23:01,23.1667,-97.95,87.6,62,10,12.68
32,Hithadhoo,MV,5/22/2021 22:57,-0.6,73.0833,83.55,73,33,11.63
33,Kavaratti,IN,5/22/2021 23:01,10.5669,72.642,82.26,76,98,12.66
34,Tasiilaq,GL,5/22/2021 23:01,65.6145,-37.6368,28.56,84,100,2.93
35,Geraldton,AU,5/22/2021 23:01,-28.7667,114.6,66.13,69,75,11.68
36,Namibe,AO,5/22/2021 23:01,-15.1961,12.1522,74.82,69,14,2.86
37,Umm Lajj,SA,5/22/2021 22:58,25.0213,37.2685,79.47,65,0,11.45
38,Voh,NC,5/22/2021 23:01,-20.9667,164.7,75.34,59,20,6.44
39,Abha,SA,5/22/2021 23:01,18.2164,42.5053,67.95,57,3,2.64
40,Manjakandriana,MG,5/22/2021 23:01,-18.9167,47.8,46.09,98,37,3.04
41,Pasni,PK,5/22/2021 22:59,25.2631,63.471,85.33,56,0,8.99
42,Nantucket,US,5/22/2021 23:01,41.2835,-70.0995,64.96,94,1,9.22
43,Mataura,NZ,5/22/2021 22:57,-46.1927,168.8643,49.48,76,7,2.1
44,Avarua,CK,5/22/2021 23:01,-21.2078,-159.775,78.85,69,40,17.27
45,Butaritari,KI,5/22/2021 23:01,3.0707,172.7902,83.66,80,100,18.3
46,Saskylakh,RU,5/22/2021 23:01,71.9167,114.0833,26.69,94,66,6.11
47,Punta Arenas,CL,5/22/2021 23:01,-53.15,-70.9167,39.11,88,40,4.9
48,New Norfolk,AU,5/22/2021 22:57,-42.7826,147.0587,53.71,86,86,1.19
49,Vaini,TO,5/22/2021 22:57,-21.2,-175.2,77.16,94,75,4.61
50,Faya,SA,5/22/2021 23:01,18.3851,42.4509,68.31,53,2,3.33
51,Ushuaia,AR,5/22/2021 22:58,-54.8,-68.3,37.06,100,40,2.3
52,Kapaa,US,5/22/2021 23:01,22.0752,-159.319,80.19,75,55,4
53,Severo-Kurilsk,RU,5/22/2021 22:58,50.6789,156.125,43.72,70,55,4.16
54,Bijie,CN,5/22/2021 23:01,27.3125,105.2942,57.99,94,100,6.38
55,Masvingo,ZW,5/22/2021 23:01,-20.0637,30.8277,57.06,92,60,9.73
56,Upernavik,GL,5/22/2021 23:01,72.7868,-56.1549,29.52,88,98,9.04
57,Chuy,UY,5/22/2021 23:01,-33.6971,-53.4616,55,74,98,17.18
58,Moron,AR,5/22/2021 22:57,-34.6534,-58.6198,57.09,99,100,8.01
59,Katsuura,JP,5/22/2021 23:01,35.1333,140.3,69.19,80,45,18.3
60,Atbasar,KZ,5/22/2021 23:01,51.8,68.3333,64.78,43,41,7.27
61,Saint-Philippe,RE,5/22/2021 22:58,-21.3585,55.7679,70.21,71,79,11.83
62,Terrace Bay,CA,5/22/2021 23:01,48.7834,-87.1,49.95,99,100,2.06
63,Hobart,AU,5/22/2021 23:01,-42.8794,147.3294,54.05,86,20,1.99
64,Ostrovnoy,RU,5/22/2021 22:58,68.0531,39.5131,33.28,99,100,22.3
65,Narsaq,GL,5/22/2021 22:59,60.9167,-46.05,35.78,70,29,7.49
66,Ancud,CL,5/22/2021 23:01,-41.8697,-73.8203,51.42,86,94,8.61
